,roc,prc,cost,delay(p>=0.1),delay(p>=0.2),delay(p>=0.3),delay(p>=0.5),delay(p>=0.7),lambda,seed
0,0.7306991922275178,0.5519056263897527,9.15999984741211,0.7979792952537537,0.9480627179145813,1.5849655866622925,1.3200000524520874,1.2458446025848389,200.0,0
1,0.734148702986222,0.5724322161570109,8.96500015258789,0.6315621137619019,1.0378867387771606,1.376268982887268,1.5024120807647705,1.5307304859161377,200.0,0
2,0.7284101234920205,0.5541268842681251,9.234999656677246,0.9044157266616821,0.9124239087104797,1.1822376251220703,1.4493467807769775,1.3585234880447388,200.0,0
0,0.7254511562038611,0.5510470271383814,10.180000305175781,0.7897466421127319,0.8142356872558594,1.2544355392456055,0.8258291482925415,1.04599928855896,200.0,1
1,0.7372142000032983,0.5731371941994942,10.142499923706055,0.6483213901519775,0.9186062216758728,1.2944825887680054,0.9861306548118591,1.4350600242614746,200.0,1
2,0.730833482776719,0.5586810422636718,10.425000190734863,0.832379937171936,0.7989619374275208,0.8816019296646118,1.0646231174468994,1.6242752075195312,200.0,1
0,0.7172715146214781,0.5280258699133861,6.447500228881836,0.767988920211792,1.1448029279708862,2.0469183921813965,2.1027135848999023,1.1629300117492676,200.0,2
1,0.7252082607723414,0.5520364533012981,6.612500190734863,0.6953650712966919,1.232081413269043,1.8788329362869263,1.966733694076538,1.0885194540023804,200.0,2
2,0.7258861423006836,0.5522118801034496,6.697500228881836,0.8364964127540588,1.2208079099655151,1.4699006080627441,1.7533668279647827,1.7305760383605957,200.0,2
0,0.7286479493645318,0.5483784966349615,5.175000190734863,0.9138244390487671,1.1317112445831299,1.5860936641693115,1.143115520477295,1.3011209964752197,350.0,0
1,0.7309355961780902,0.5710747919230741,5.135000228881836,0.7500534057617188,1.2193533182144165,1.3785252571105957,1.4559799432754517,1.5583686828613281,350.0,0
2,0.7279459497733723,0.5539365003249336,5.287499904632568,0.9855661392211914,1.1342568397521973,1.2408983707427979,1.4968844652175903,1.4605721235275269,350.0,0
0,0.7299489121266637,0.5586057855063711,9.72249984741211,0.8206189870834351,0.849510669708252,1.1799814701080322,0.8379899859428406,1.2671046257019043,350.0,1
1,0.7331797150963837,0.5693512635290302,9.5600004196167,0.6783117055892944,0.944789707660675,1.365552306175232,0.8191959857940674,1.3861616849899292,350.0,1
2,0.732344113081831,0.5570370352879349,9.802499771118164,0.8138565421104431,0.8266001343727112,0.8725771307945251,1.123216152191162,1.3989176750183105,350.0,1
0,0.7479570924447683,0.5751483718727971,16.165000915527344,0.43280231952667236,0.8716940879821777,1.0468670129776,1.1563819646835327,0.505991518497467,350.0,2
1,0.7515406337786921,0.5880036261368488,16.045000076293945,0.5163049697875977,0.6138587594032288,0.9757973551750183,1.2182915210723877,1.04599928855896,350.0,2
2,0.7477555076343528,0.5795787339785382,16.207500457763672,0.47543570399284363,0.7822335362434387,0.9594400525093079,1.1740704774856567,0.6399304270744324,350.0,2
0,0.7293722099614754,0.554009884630482,10.447500228881836,0.7715171575546265,0.8240545392036438,1.1241410970687866,0.866733729839325,1.0693854093551636,250.0,0
1,0.7364022292711577,0.5714235784754644,10.34749984741211,0.6709612011909485,0.9902472496032715,1.2781254053115845,1.0237185955047607,1.1756861209869385,250.0,0
2,0.7320608211061179,0.5598701890513561,10.555000305175781,0.8262054920196533,0.8262364864349365,0.8951389789581299,0.9971859455108643,1.097023606300354,250.0,0
0,0.7305445289842799,0.5563638566244822,7.772500038146973,0.9308777451515198,1.1720775365829468,1.7344374656677246,1.0502513647079468,0.8206416368484497,250.0,1
1,0.7386367476902267,0.5817345328670457,7.644999980926514,0.6918368339538574,1.230263113975525,1.7242847681045532,1.476984977722168,1.3925395011901855,250.0,1
2,0.7297491803794091,0.5606048506946328,7.792500019073486,0.9335240125656128,1.221535325050354,1.438878059387207,1.4515578746795654,1.4308078289031982,250.0,1
0,0.7288595410438828,0.5544937641831194,10.555000305175781,0.7715171575546265,0.8280547261238098,1.2538713216781616,0.8601005673408508,1.2330886125564575,250.0,2
1,0.7375084401559139,0.5743126590920503,10.427499771118164,0.7094781994819641,1.0215221643447876,1.2944825887680054,1.055778980255127,1.4286818504333496,250.0,2
2,0.7323755416342176,0.5615522339785786,10.672499656677246,0.8262054920196533,0.8178722262382507,0.8178648948669434,0.9938693046569824,1.620023250579834,250.0,2
0,0.7288595410438828,0.5544937641831194,10.555000305175781,0.7715171575546265,0.8280547261238098,1.2538713216781616,0.8601005673408508,1.2330886125564575,400.0,0
1,0.7375084401559139,0.5743126590920503,10.427499771118164,0.7094781994819641,1.0215221643447876,1.2944825887680054,1.055778980255127,1.4286818504333496,400.0,0
2,0.7323755416342176,0.5615522339785786,10.672499656677246,0.8262054920196533,0.8178722262382507,0.8178648948669434,0.9938693046569824,1.620023250579834,400.0,0
0,0.7295051492657957,0.5546618358744068,7.244999885559082,0.9802736043930054,1.1698955297470093,1.8162239789962769,1.0845226049423218,0.9694626331329346,400.0,1
1,0.7362099221912913,0.5802741768194123,7.090000152587891,0.6930128931999207,1.1637133359909058,1.7632036209106445,1.3796985149383545,1.4499421119689941,400.0,1
2,0.7287367884270299,0.5602105034493898,7.284999847412109,0.7953330278396606,1.1891695261001587,1.4112399816513062,1.4537689685821533,1.3989176750183105,400.0,1
0,0.7329755471455123,0.5578591066943203,8.037500381469727,0.7697529792785645,0.933516263961792,1.2583837509155273,1.1198996305465698,1.1204097270965576,400.0,2
1,0.7388442399299603,0.5708551704832313,7.982500076293945,0.7606382966041565,1.1302565336227417,1.3215566873550415,1.2348743677139282,1.190568208694458,400.0,2
2,0.7072951608995258,0.5259766589788926,8.229999542236328,1.0696567296981812,0.9735188484191895,1.3943185806274414,1.5499497652053833,1.8156166076660156,400.0,2
0,0.7288595410438828,0.5544937641831194,10.555000305175781,0.7715171575546265,0.8280547261238098,1.2538713216781616,0.8601005673408508,1.2330886125564575,300.0,0
1,0.7375084401559139,0.5743126590920503,10.427499771118164,0.7094781994819641,1.0215221643447876,1.2944825887680054,1.055778980255127,1.4286818504333496,300.0,0
2,0.7323755416342176,0.5615522339785786,10.672499656677246,0.8262054920196533,0.8178722262382507,0.8178648948669434,0.9938693046569824,1.620023250579834,300.0,0
0,0.7440776472040872,0.5709394053614668,9.977499961853027,0.6347963213920593,1.0277043581008911,1.3435544967651367,0.7805024981498718,0.6781987547874451,300.0,1
1,0.7464651352234428,0.5851380508158103,9.989999771118164,0.6395006775856018,0.9615181088447571,1.3277612924575806,1.100000023841858,1.1544259786605835,300.0,1
2,0.748727844276157,0.5864520233560981,10.180000305175781,0.574815571308136,0.831691324710846,1.1985950469970703,1.0635175704956055,1.0289911031723022,300.0,1
0,0.7435266260273922,0.5700744575853632,14.7524995803833,0.4498556852340698,0.849510669708252,0.9673367142677307,1.1464321613311768,0.6505604982376099,300.0,2
1,0.7498501142518658,0.5833679049572881,14.664999961853027,0.5339463353157043,0.6574980020523071,1.0265613794326782,1.2591960430145264,1.1289138793945312,300.0,2
2,0.7455834064383055,0.574014113024737,14.789999961853027,0.4389767646789551,0.7909613847732544,1.0259974002838135,1.177386999130249,0.5400077104568481,300.0,2
0,0.7325754827144619,0.5546258088078063,10.667499542236328,0.7135945558547974,0.803325891494751,1.1850578784942627,0.8601005673408508,1.2330886125564575,450.0,0
1,0.7384249130968525,0.5716454019531555,10.585000038146973,0.6909548044204712,1.0527969598770142,1.172084927558899,1.055778980255127,1.4286818504333496,450.0,0
2,0.7321400140824758,0.5599882970542526,10.835000038146973,0.7282956838607788,0.8207815289497375,0.9148804545402527,0.9938693046569824,1.620023250579834,450.0,0
0,0.7329252163599956,0.5545063165214724,7.96750020980835,0.9817438125610352,1.2960857152938843,1.803251028060913,0.8490452766418457,1.009856939315796,450.0,1
1,0.7354494088712924,0.5787744660297985,7.84250020980835,0.7644606232643127,1.1837146282196045,1.6306532621383667,1.2006030082702637,1.5094704627990723,450.0,1
2,0.7312957569019245,0.5600831514405629,8.047499656677246,0.857077956199646,1.1557127237319946,1.4112399816513062,1.3819094896316528,1.3861615657806396,450.0,1
0,0.7386260920180742,0.556857832530704,16.094999313354492,0.5210093259811401,0.6000396609306335,0.9769254326820374,0.8877386450767517,0.8844221830368042,450.0,2
1,0.7364844146427004,0.5653980967293585,16.014999389648438,0.5307121276855469,0.8098717331886292,0.9103681445121765,0.9175879955291748,1.4499421119689941,450.0,2
2,0.7407410431508543,0.5636328924019355,16.212499618530273,0.6042179465293884,0.7615048885345459,0.6689570546150208,0.8777890205383301,0.8950521945953369,450.0,2
