,method,roc,prc,cost,lambda,delay(p>=0.1),delay(p>=0.3),delay(p>=0.5),delay(p>=0.7)
0,ASAC,0.5760150120578276,0.3944396774238868,0.12999999523162842,0.1,0.5268898010253906,3.5235869884490967,3.580803871154785,2.9530344009399414
0,ASAC,0.6379098792051086,0.47173000074068505,5.034999847412109,0.01,0.5268898010253906,1.397702932357788,2.585829257965088,2.9530344009399414
0,ASAC,0.6610158975723114,0.46716309639223574,10.954999923706055,0.005,0.5268898010253906,1.3085837364196777,3.580803871154785,2.9530344009399414
0,ASAC,0.5945001334217405,0.4167335442067883,11.104999542236328,0.001,0.5268898010253906,1.3672444820404053,3.580803871154785,2.9530344009399414
0,ASAC,0.4498404726788845,0.31159213928260804,0.0,0.1,0.5268898010253906,1.3672444820404053,3.580803871154785,2.9530344009399414
0,ASAC,0.5589109393507793,0.3709829101176081,2.2100000381469727,0.01,0.5268898010253906,1.0835298299789429,3.580803871154785,2.9530344009399414
0,ASAC,0.7041618340147252,0.5695372611111978,8.052499771118164,0.005,0.5268898010253906,1.0474309921264648,1.1530653238296509,2.9530344009399414
0,ASAC,0.6737155824367592,0.49715323314117127,13.354999542236328,0.001,0.5268898010253906,0.8381704092025757,3.430452346801758,2.9530344009399414
0,ASAC,0.5362109863030347,0.3489397917094987,0.0,0.1,0.5268898010253906,4.132755756378174,3.580803871154785,2.9530344009399414
0,ASAC,0.6599733414574608,0.48376560562329723,2.674999952316284,0.01,0.5268898010253906,1.9984102249145508,3.580803871154785,2.9530344009399414
0,ASAC,0.5900155838338837,0.39420092224734987,8.3725004196167,0.005,0.5268898010253906,0.9244692921638489,3.580803871154785,2.9530344009399414
0,ASAC,0.6374986652390355,0.473144538735629,18.2450008392334,0.001,0.5268898010253906,0.7919187545776367,3.580803871154785,2.9530344009399414
