,roc,prc,cost,delay(p>=0.1),delay(p>=0.2),delay(p>=0.3),delay(p>=0.5),delay(p>=0.7),delta,seed
0,0.744003737620421,0.568895470053552,24.1924991607666,0.2419811636209488,0.3447500169277191,0.5899907350540161,0.5140703320503235,0.32528024911880493,0.5,0
1,0.7418372076427002,0.5695917805509413,24.207500457763672,0.1531861275434494,0.38548001646995544,0.5781457424163818,0.5693467259407043,0.6696946024894714,0.5,0
2,0.7500658550086804,0.581173802800829,24.227500915527344,0.204934224486351,0.3782068192958832,0.4788739085197449,0.5826130509376526,0.9375724792480469,0.5,0
0,0.7292107790935652,0.5628289606432765,9.892499923706055,0.9120603799819946,1.129165530204773,1.6972105503082275,1.6671355962753296,2.3790102005004883,0.5,1
1,0.7346577154202246,0.5492852538364851,9.977499961853027,0.8547257781028748,1.1764414310455322,1.3091477155685425,2.145829200744629,2.066486120223999,0.5,1
2,0.7266012872522282,0.5333642104505405,10.102499961853027,0.9276434779167175,0.9982477426528931,1.4292892217636108,2.3304522037506104,2.6086199283599854,0.5,1
0,0.7506559102376343,0.5881249896721658,13.449999809265137,0.6297979354858398,0.7327757477760315,1.2047994136810303,1.1453266143798828,1.0141090154647827,0.5,2
1,0.724587754256539,0.5562432374368942,13.40999984741211,0.5959852337837219,0.833509624004364,1.2882781028747559,0.9253267049789429,1.0056049823760986,0.5,2
2,0.7336471783878898,0.5582243257195681,13.52750015258789,0.5213032960891724,0.6094948649406433,1.0564558506011963,0.9032161235809326,1.579628825187683,0.5,2
0,0.7357458287321883,0.5683663128860758,4.84499979019165,1.3213818073272705,1.5258303880691528,1.7161269187927246,1.6839553117752075,1.6140702962875366,1.5,0
1,0.7302008873544183,0.5693051313454607,4.815000057220459,1.3694723844528198,1.4675205945968628,1.7734506130218506,1.7875986099243164,1.7798994779586792,1.5,0
2,0.7205616344808622,0.5475209079520353,4.880000114440918,1.4391205310821533,1.6953669786453247,1.9239250421524048,1.7273868322372437,2.111557722091675,1.5,0
0,0.7035310690509945,0.504110703933311,3.552500009536743,1.252839207649231,1.56526517868042,2.3303089141845703,2.552584409713745,2.774874448776245,1.5,1
1,0.7124380329516105,0.5449318425077,3.5299999713897705,1.4178390502929688,1.79513418674469,2.2908990383148193,2.4736180305480957,2.509547710418701,1.5,1
2,0.7269441194732084,0.5317383592568973,3.625,1.4452009201049805,1.6613248586654663,2.2775914669036865,2.6582014560699463,2.774874448776245,1.5,1
0,0.6637478770415026,0.4434532200254355,2.2699999809265137,1.1480904817581177,1.8180536031723022,2.929647922515869,2.9256999492645264,2.774874448776245,1.5,2
1,0.6500535166073398,0.4693426858738956,2.2325000762939453,1.4159045219421387,1.9939943552017212,2.808347463607788,2.583183765411377,2.509547710418701,1.5,2
2,0.6933800335371756,0.4908010980803817,2.3424999713897705,1.1198995113372803,1.7917636632919312,2.7761027812957764,2.818108320236206,2.774874448776245,1.5,2
